UNIPROT	REF_SEQ Protein
O82226	NP_565560
O82232	NP_179982
O82243	NP_182296
O82246	NP_182299
O82248	NP_182302
O82256	NP_182310
O82261	NP_566115
O82264-1	NP_566118
O82264-2	NP_973714
O82291	NP_181092
O82314	NP_565610
O82316	NP_180152
O82333	NP_179101
O82353	NP_182139
O82355	NP_182137
O82368	NP_180549
O82391	NP_180525
O82399	NP_179863
O82480	NP_194624
O82481	NP_201093
O82484	NP_192816
O82485	NP_192815
O82486	NP_192814
O82491	NP_192809
O82499	NP_192856
O82500	NP_192855
O82514	NP_201145
O82598	NP_192056
O82616	NP_192764
O82628	NP_186788
O82628	NP_186788
O82629	NP_194102
O82631	NP_187203
O82632	NP_195015
O82643	NP_195028
O82653	NP_174383
O82660	NP_197703
O82662	NP_179632
O82663	NP_201477
O82733-1	NP_851123
O82733-2	NP_568625
O82734-1	NP_568501
O82734-2	NP_851085
O82743	NP_194026
O82768	NP_174469
O82782	NP_181165
O82796	NP_173299
O82796	NP_173299
O82798	NP_172517
O82804-1	NP_180164
P04777	NP_564339
P04777	NP_564339
P04778	NP_174286
P0C026	NP_197448
P0C034	NP_175348
P0C035	NP_175785
P0C041	NP_193525
P0C042	NP_567479
P0C0B0	NP_173811
P0C0B1	NP_173812
P10671	NP_001031504
P10671	NP_001031504
P10671	NP_001031504
P10795	NP_176880
P10796	NP_198659
P10797	NP_198658
P10798	NP_198657
P10896-1	NP_565913
P10896-2	NP_850320
P11035	NP_174901
P11139	NP_176654
P11490	NP_177737
P11574	NP_177729
P11829	NP_187153
P11832	NP_177899
P12411	NP_177706
P13114	NP_196897
P14671	NP_200292
P14712	NP_172428
P14713	NP_179469
P14714	NP_198433
P15455	NP_199225
P15456	NP_171884
P15457	NP_194444
P15458	NP_194445
P15459	NP_194446
P15460	NP_194447
P16127	NP_193583
P16128	NP_193584
P16180	NP_178103
P16181	NP_190462
P16972	NP_176291
P17562	NP_192094
P17597	NP_190425
P17745	NP_193769
P17839	NP_567569
P18064	NP_180198
P18612	NP_197100
P18616	NP_195305
P19036	NP_190209
P19037	NP_200780
P19171	NP_566426
P19172	NP_197797
P19366	NP_051066
P19456	NP_194748
P20115-1	NP_850415
P20115-2	NP_566016
P20363	NP_197478
P20363	NP_197478
P20431	NP_200545
P20649	NP_179486
P21216	NP_179415
P21218	NP_001031731
P21218	NP_001031731
P21238	NP_180367
P21240	NP_175945
P21240	NP_175945
P21276	NP_194240
P21276	NP_194240
P21276	NP_194240
P22197	NP_194382
P22738	NP_176352
P22953	NP_195870
P22954	NP_195869
P23321	NP_201458
P23586	NP_172592
P23686-1	NP_171751
P23686-1	NP_171751
P24101	NP_190480
P24102	NP_181372
P24636	NP_199247
P24704	NP_172360
P24806	NP_194756
P25069	NP_180271
P25069	NP_180271
P25069	NP_180271
P25070	NP_198593
P25071	NP_181643
P25269	NP_194437
P25696	NP_181192
P25697	NP_174486
P25701	NP_175860
P25702	NP_564663
P25818	NP_181221
P25819	NP_195235
P25851	NP_190973
P25853	NP_567460
P25854	NP_176814
P25854	NP_176814
P25855	NP_181080
P25856	NP_566796
P25857	NP_174996
P25858	NP_187062
P25859	NP_190986
P25860	NP_187550
P25863	NP_190667
P25864	NP_190075
P25865	NP_563951
P25865	NP_563951
P25873	NP_189221
P26288	NP_051109
P26289	NP_051111
P26568	NP_172161
P26569	NP_180620
P26587	NP_177462
P27140-1	NP_186799
P27140-2	NP_850491
P27140-3	NP_850490
P27202	NP_178025
P27450	NP_195285
P27521	NP_190331
P27900	NP_189430
P28147	NP_187953
P28148	NP_175948
P28148	NP_175948
P28185	NP_172128
P28186	NP_190192
P28187	NP_181842
P28297	NP_188809
P28493	NP_177641
P28769	NP_188640
P29197	NP_189041
P29381	NP_191437
P29382	NP_568322
P29383-1	NP_178466
P29383-2	NP_973411
P29384	NP_186880
P29385-1	NP_565986
P29385-2	NP_850377
P29386	NP_182089
P29388	NP_085478
P29402	NP_200987
P29448	NP_190672
P29510	NP_171974
P29510	NP_171974
P29511	NP_193232
P29512	NP_568959
P29512	NP_568959
P29513	NP_564101
P29514	NP_196786
P29515	NP_180515
P29516	NP_568437
P29517	NP_193821
P29525	NP_194244
P29830	NP_196763
P29976	NP_195708
P30181	NP_200341
P30182	NP_189031
P30183	NP_195465
P30184	NP_179997
P30185	NP_201441
P30186	NP_190694
P30187	NP_181642
P30188	NP_181672
P30224	NP_565119
P30302	NP_181255
P30366	NP_180501
P31166-1	NP_564284
P31166-2	NP_849714
P31167	NP_187470
P31167	NP_187470
P31168	NP_173468
P31169	NP_197101
P31170	NP_194497
P31265	NP_188286
P31414	NP_173021
P31582	NP_199326
P32068	NP_196192
P32069	NP_180530
P32746	NP_568428
P32826	NP_187652
P32962	NP_190016
P33077	NP_199183
P33078	NP_173011
P33154	NP_179068
P33157	NP_191285
P33207	NP_564216
P33487	NP_192207
P33543	NP_189109
P34047-1	NP_850625
P34047-2	NP_850624
P34066	NP_199093
P34788	NP_173692
P34788	NP_173692
P34788	NP_173692
P34789	NP_201219
P34790	NP_195585
P34791	NP_191762
P34795	NP_199088
P34802	NP_195399
P34881	NP_199727
P34893	NP_563961
P35131	NP_851114
P35131	NP_851114
P35132-1	NP_849462
P35133	NP_568788
P35133	NP_568788
P35134	NP_566331
P35402	NP_564326
P35510	NP_181241
P35614	NP_189295
P35631	NP_177074
P35632	NP_191002
P36210	NP_189421
P36211	NP_189422
P36212	NP_189423
P36397	NP_182239
P36428-1	NP_175439
P37106	NP_563970
P37107	NP_196014
P37271	NP_001031895
P37271	NP_001031895
P37702	NP_851077
P38025	NP_001030739
P38025	NP_001030739
P38389	NP_001031539
P38389	NP_001031539
P38389	NP_001031539
P38418	NP_566875
P38420	NP_193902
P38421	NP_200726
P38557	NP_191724
P38558	NP_196181
P38605	NP_178722
P38666	NP_190870
P39697	NP_568681
P40228	NP_199519
P40229	NP_193499
P40283	NP_200799
P40602	NP_173441
P40940	NP_850057
P40941	NP_001031876
P40941	NP_001031876
P41088	NP_191072
P41127	NP_001030831
P41127	NP_001030831
P41127	NP_001030831
P41151	NP_193510
P41376	NP_566469
P41377	NP_175829
P41568	NP_194443
P41916	NP_197501
P41917	NP_197502
P42036	NP_190826
P42043	NP_001031941
P42043	NP_001031941
P42158	NP_194340
P42158	NP_194340
P42339	NP_176251
P42497	NP_193360
P42498	NP_193547
P42551	NP_566985
P42645	NP_568325
P42697-1	NP_851120
P42697-2	NP_568602
P42698	NP_174336
P42699	NP_173459
P42730	NP_565083
P42732	NP_568299
P42733	NP_197763
P42735	NP_193642
P42736	NP_188299
P42737	NP_974782
P42742	NP_191641
P42743	NP_564493
P42744	NP_172010
P42745	NP_565289
P42746	NP_568956
P42747	NP_567020
P42748	NP_568589
P42749	NP_564817
P42750	NP_566062
P42751	NP_177178
P42752	NP_179835
P42753	NP_195142
P42758	NP_190666
P42759	NP_850947
P42760	NP_171792
P42761	NP_180644
P42762	NP_568750
P42763	NP_177745
P42770	NP_191026
P42774-1	NP_195391
P42774-2	NP_849510
P42775	NP_192021
P42776	NP_182150
P42777	NP_171893
P42791	NP_187210
P42792	NP_085492
P42792	NP_085492
P42794-1	NP_191429
P42794-1	NP_191429
P42794-1	NP_191429
P42794-2	NP_851137
P42795	NP_850376
P42797	NP_188869
P42798	NP_172256
P42798	NP_172256
P42798	NP_172256
P42799	NP_201162
P42801	NP_195690
P42804	NP_176125
P42813	NP_178399
P42814	NP_030524
P42815	NP_564264
P42818	NP_187485
P42825	NP_568412
P43082	NP_187123
P43254	NP_180854
P43255	NP_193147
P43256	NP_179329
P43273	NP_001031845
P43273	NP_001031845
P43273	NP_001031845
P43286	NP_001030851
P43286	NP_001030851
P43287	NP_181254
P43288	NP_568486
P43289	NP_187235
P43289	NP_187235
P43291	NP_001031021
P43291	NP_001031021
P43292	NP_196476
P43293	NP_195849
P43293	NP_195849
P43294-1	NP_193038
P43294-2	NP_849370
P43295	NP_565512
P43296	NP_568052
P43297	NP_564497
P43298	NP_176789
P43299	NP_192115
P43333	NP_172447
P43392	NP_172239
P45432	NP_567109
P45434	NP_565498
P45724	NP_190894
P45725	NP_196043
P45951	NP_181677
P46010	NP_190018
P46011	NP_197622
P46014	NP_197429
P46032	NP_178313
P46077	NP_564453
P46086	NP_198097
P46086	NP_198097
P46248	NP_194927
P46248	NP_194927
P46283	NP_191139
P46286	NP_179393
P46309	NP_194041
P46310	NP_187727
P46312	NP_194824
P46313	NP_187819
P46421	NP_180506
P46422	NP_192161
P46573	NP_001031439
P46600	NP_193476
P46601	NP_199548
P46602	NP_191598
P46603	NP_179865
P46604	NP_195493
P46637	NP_192629
P46640	NP_177208
P46643	NP_180654
P46644	NP_196713
P46645	NP_197456
P46646	NP_564803
P46665	NP_196289
P46667	NP_201334
P46668	NP_565536
P46687	NP_192698
P46688	NP_192699
P46689	NP_565116
P46690	NP_197027
P46864	NP_567768
P46875	NP_568811
P46897	NP_182191
P47192	NP_180871
P47735	NP_194578
P47924	NP_201235
P47925	NP_565490
P47927	NP_195410
P47996	NP_178065
P47999	NP_181903
P48000	NP_197904
P48001	NP_196667
P48002	NP_194932
P48006	NP_174314
P48007	NP_197524
P48347-1	NP_564167
P48347-2	NP_849698
P48348-1	NP_851274
P48348-2	NP_569012
P48349	NP_568229
P48421	NP_193113
P48422	NP_200694
P48482	NP_001032103
P48482	NP_001032103
P48482	NP_001032103
P48483	NP_176587
P48484	NP_181514
P48485	NP_190266
P48491	NP_191104
P48512	NP_181694
P48523	NP_188576
P48528	NP_200337
P48529	NP_194402
P48578	NP_567066
P48622	NP_196177
P48623	NP_180559
P48641	NP_189059
P48731	NP_195024
P48785	NP_194723
P49047	NP_180165
P49062	NP_171778
P49063	NP_187442
P49077	NP_188668
P49078	NP_190318
P49107	NP_201209
P49177	NP_195172
P49200	NP_190089
P49200	NP_190089
P49201	NP_195916
P49204	NP_568179
P49205	NP_178520
P49206	NP_181591
P49209	NP_564417
P49209	NP_564417
P49211	NP_193544
P49227	NP_198790
P49243	NP_001031221
P49243	NP_001031221
P49333	NP_176808
P49572	NP_178521
P49592	NP_851060
P49592	NP_851060
P49597	NP_194338
P49598	NP_187748
P49599	NP_194509
P49637	NP_177217
P49677	NP_193192
P49678	NP_188943
P49688	NP_181715
P49689	NP_194668
P49689	NP_194668
P49689	NP_194668
P49691	NP_195907
P49692	NP_182283
P49693	NP_192132
P49967	NP_564535
P50287	NP_196427
P50546	NP_051051
P50651	NP_189000
P50699	NP_173261
P50700	NP_192902
P50883	NP_181256
P51102	NP_199094
P51407	NP_180340
P51412	NP_174808
P51413	NP_176910
P51414	NP_190560
P51418	NP_180995
P51419	NP_193236
P51420	NP_200482
P51422	NP_191134
P51424	NP_567886
P51427	NP_187800
P51427	NP_187800
P51430	NP_196598
P51566	NP_001030853
P51566	NP_001030853
P51566	NP_001030853
P51567	NP_194205
P51568	NP_194992
P51818	NP_200412
P52032	NP_180080
P52410	NP_199441
P52420	NP_172454
P52422	NP_174407
P52577	NP_565107
P52839	NP_178471
P52901	NP_176198
P53492	NP_196543
P53494	NP_200745
P53496	NP_187818
P53497	NP_190236
P53665	NP_181990
P53780-1	NP_191264
P53780-2	NP_850712
P53799	NP_195190
P54121	NP_189535
P54144	NP_193087
P54150	NP_194243
P54609	NP_187595
P54873-1	NP_192919
P54873-2	NP_849361
P54887	NP_181510
P54888	NP_191120
P54904	NP_196984
P54967	NP_181864
P54968	NP_186937
P54969	NP_200476
P54970	NP_200477
P55034	NP_195575
P55217	NP_186761
P55228	NP_199641
P55229	NP_197423
P55230	NP_174089
P55231	NP_195632
P55737	NP_200414
P55826	NP_192078
P55852	NP_194414
P56751	NP_051064
P56752	NP_051106
P56753	NP_051115
P56754	NP_051062
P56755	NP_051113
P56756	NP_051063
P56757	NP_051044
P56758	NP_051047
P56759	NP_051045
P56760	NP_051046
P56761	NP_051054
P56762	NP_051090
P56763	NP_051050
P56764	NP_051049
P56765	NP_051068
P56766	NP_051059
P56767	NP_051058
P56768	NP_051069
P56769	NP_051079
P56770	NP_051108
P56771	NP_051072
P56772	NP_051083
P56773	NP_051088
P56774	NP_051089
P56775	NP_051078
P56776	NP_051077
P56777	NP_051084
P56778	NP_051055
P56779	NP_051076
P56780	NP_051087
P56781	NP_051073
P56782	NP_051042
P56783	NP_051071
P56785	NP_051117
P56786	NP_051101
P56786	NP_051101
P56788	NP_051070
P56790	NP_051056
P56791	NP_051099
P56791	NP_051099
P56792	NP_051094
P56793	NP_051095
P56794	NP_051082
P56795	NP_051097
P56796	NP_051080
P56797	NP_051048
P56798	NP_051096
P56799	NP_051061
P56801	NP_051093
P56802	NP_051091
P56804	NP_051057
P56805	NP_051116
P56806	NP_051041
P56807	NP_051081
P56808	NP_051098
P56809	NP_051102
P56809	NP_051102
P56820	NP_001031683
P56820	NP_001031683
P56820	NP_001031683
P57106	NP_199147
P57681	NP_201196
P57691	NP_187734
P57720	NP_564534
P57741	NP_001032045
P57741	NP_001032045
P57742	NP_197720
P57750	NP_568359
P57751	NP_197233
P57758	NP_198883
P57792	NP_173938
P58045	NP_197878
P58046	NP_197877
P58047	NP_001031675
P58048	NP_680342
P58049	NP_197894
P58050	NP_197896
P58051	NP_197900
P58223-1	NP_193572
P58223-2	NP_849406
P58684	NP_181525
P58728	NP_849379
P58766	NP_197919
P59120	NP_197488
P59169	NP_001031816
P59169	NP_001031816
P59169	NP_001031816
P59169	NP_001031816
P59220	NP_189967
P59223	NP_567104
P59224	NP_567151
P59226	NP_189372
P59226	NP_189372
P59226	NP_189372
P59226	NP_189372
P59226	NP_189372
P59227	NP_179244
P59227	NP_179244
P59227	NP_179244
P59228	NP_564098
P59229	NP_177693
P59230	NP_565654
P59230	NP_565654
P59231	NP_197636
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59259	NP_180441
P59278	NP_564598
P59467	NP_189296
P59468	NP_189300
P59583	NP_567862
P59833	NP_197426
P60039	NP_850410
P60040	NP_178234
P60129	NP_051074
P60300	NP_198313
P60497	NP_085495
P60620	NP_085587
P60838	NP_172692
P60839	NP_172693
P61039	NP_051052
P61430	NP_564164
P61827	NP_197346
P61837	NP_191702
P61839	NP_051085
P61841	NP_051104
P61841	NP_051104
P61843	NP_051060
P61845	NP_051100
P61845	NP_051100
P61847	NP_051107
P62090	NP_051110
P62095	NP_051075
P62100	NP_051043
P62109	NP_051053
P62113	NP_051086
P62117	NP_051092
P62120	NP_187465
P62120	NP_187465
P62120	NP_187465
P62120	NP_187465
P62120	NP_187465
P62126	NP_051037
P62126	NP_051037
P62598	NP_180090
P68209	NP_196447
P68349	NP_173556
P68350	NP_174211
P69781	NP_197955
P69834	NP_565286
P81760	NP_851183
P82266	NP_181162
P82281	NP_192640
P82538	NP_191093
P82620	NP_001031611
P82621	NP_001031236
P82623	NP_001031213
P82624-1	NP_974058
P82625	NP_564768
P82626	NP_001031214
P82627	NP_001031212
P82628	NP_001031324
P82629	NP_974556
P82630	NP_001031648
P82631	NP_001030752
P82632	NP_001030751
P82633	NP_001031694
P82634	NP_001031326
P82635	NP_001031342
P82636	NP_001031414
P82637	NP_001031354
P82638	NP_001030783
P82639	NP_001031608
P82640	NP_001031616
P82642	NP_001031643
P82643	NP_001031776
P82644	NP_001031775
P82645	NP_001031693
P82646	NP_001032016
P82716	NP_001032034
P82717	NP_001031612
P82718	NP_001032027
P82719	NP_001030763
P82721	NP_001032025
P82722	NP_001031668
P82723	NP_001030909
P82726	NP_001031619
P82727	NP_001032038
P82728	NP_001031606
P82729	NP_001031413
P82730	NP_001031669
P82731	NP_001031162
P82732	NP_001030639
P82733	NP_001031755
P82734	NP_001032024
P82735	NP_001031746
P82737	NP_001031745
P82739	NP_001031747
P82744	NP_001031345
P82745	NP_001030802
P82746	NP_001031101
P82748	NP_001030801
P82749	NP_001031607
P82750	NP_001031393
P82751	NP_001031604
P82753	NP_001031673
P82754	NP_001030746
P82755	NP_001031356
P82756	NP_001030638
P82757	NP_001030745
P82760	NP_001031815
P82761	NP_001032039
P82762	NP_001030800
P82763	NP_001030830
P82764	NP_001031470
P82765	NP_001031349
P82766	NP_001030910
P82767	NP_001030911
P82768	NP_001030912
P82769	NP_001030737
P82770	NP_001030736
P82771	NP_001031996
P82772	NP_001031979
P82773	NP_567840
P82774	NP_001031377
P82775	NP_001031753
P82776	NP_001031441
P82777	NP_001031754
P82778	NP_001031275
P82779	NP_001031276
P82782	NP_001030952
P82785	NP_001031460
P82787	NP_173391
P82789	NP_198649
P82790	NP_001031412
P82791	NP_001031319
P82792	NP_001032074
P82793	NP_001031355
P82794	NP_567652
P82795	NP_001032040
P82805	NP_198909
P82872	NP_189343
P82873	NP_174059
P82874	NP_189344
P83291	NP_568391
P83483	NP_568203
P83484	NP_568204
P83755	NP_051039
P84634	NP_197532
P92510	NP_085528
P92512	NP_085530
P92513	NP_085531
P92514	NP_085532
P92514	NP_085532
P92515	NP_085533
P92516	NP_085534
P92517	NP_085535
P92518	NP_085536
P92519	NP_085537
P92520	NP_085538
P92521	NP_085540
P92522	NP_085541
P92523	NP_085542
P92525	NP_085543
P92526	NP_085545
P92528	NP_085547
P92529	NP_085548
P92530	NP_085549
P92531	NP_085551
P92532	NP_085552
P92532	NP_085552
P92534	NP_085554
P92535	NP_085555
P92536	NP_085556
P92537	NP_085557
P92538	NP_085558
P92540	NP_085560
P92541	NP_085562
P92542	NP_085563
P92543	NP_085564
P92544	NP_085566
P92548	NP_085570
P92550	NP_085572
P92551	NP_085573
P92552	NP_085574
P92553	NP_085575
P92554	NP_085576
P92555	NP_085577
P92556	NP_085578
P92557	NP_085579
P92557	NP_085579
P92559	NP_085580
P92561	NP_085582
P92561	NP_085582
P92562	NP_085583
P92562	NP_085583
P92563	NP_085585
P92564	NP_085586
P92565	NP_085588
P92566	NP_085589
P92567	NP_085590
P92935	NP_173003
P92937	NP_001031820
P92937	NP_001031820
P92939	NP_172259
P92941	NP_198905
