UNIPROT	GI
O49255	18409291
O49289	15223812
O49292	30699237
O49296	15220676
O49344	42569485
O49347	15220530
O49354	15224587
O49377	15236687
O49397	15236580
O49404	15234055
O49423	15235234
O49453	15235304
O49482	15235295
O49498	79496905
O49499	15235213
O49543	15239125
O49550	15233509
O49552	15233515
O49561	15233553
O49562	15233554
O49586	15235923
O49621	15235429
O49621	79324987
O49623	15237589
O49629	15235575
O49651	15235755
O49691	15236701
O49730	15236826
O49741	15225399
O49743	15232355
O50008	15238686
O50039	15222192
O50055	15242403
O50061	18390754
O64380	15219945
O64474	15224717
O64483	15224735
O64497	18379228
O64510	15227026
O64527	18412314
O64628	15224267
O64635	15225510
O64636-1	30690062
O64636-2	30690065
O64637	15225512
O64638	30690070
O64644	18406846
O64645	15225534
O64650	15225550
O64654	15223262
O64668	15223879
O64692	15226777
O64718	15227003
O64738	15227702
O64747-1	15226838
O64748	15226840
O64749-2	30686224
O64758	15226864
O64762	15226873
O64763	15226874
O64765	15226877
O64769	15226892
O64789	15219904
O64790	30696557
O64791	15219900
O64792	15219898
O64806	15227768
O64817	15227779
O64836	15227870
O64847	15225269
O64885	18406554
O64888	30689743
O64889	15224896
O64890	15224903
O64903	30697820
O64948	18422747
O64973	15221252
O64989	15229822
O65154	15242365
O65155	15236980
O65201	15238348
O65282	15242045
O65282	30687936
O65312	18378985
O65351	18425181
O65355	30699349
O65359	15240425
O65359	79328799
O65381	15221154
O65388	15221143
O65396	15221119
O65396	30682471
O65399	79342176
O65402	15237903
O65403	15237900
O65404	15237902
O65413	15234474
O65421	15234509
O65421	30685488
O65421	42572977
O65438	79478967
O65456	15234717
O65457	15234719
O65493	18418684
O65515	15234336
O65569	15234873
O65570	15234646
O65590	15236195
O65595	15236190
O65607	30686920
O65677	15236133
O65693	30690114
O65717	15238657
O65718	15242291
O65719	15232682
O65782	15235968
O65784	15231782
O65785	15231527
O65786	15231536
O65787	15224099
O65788-1	15222174
O65788-2	30683097
O65790	15235559
O65797	15221393
O78310	18401659
O80337	18414897
O80338	15238041
O80339	15223609
O80340	15232526
O80341	18422770
O80365	15227325
O80366	15230202
O80397	15217998
O80437	15224445
O80439	15224451
O80446	15224466
O80448	15224470
O80452	18404701
O80452	30687456
O80458	18400264
O80483	15217462
O80497	15224908
O80505	15224930
O80507-1	15224934
O80507-2	30689795
O80517	15224960
O80536	15217533
O80536	30681206
O80543	15219953
O80568	30689569
O80575	15224809
O80580	15224823
O80585	18406468
O80605	15227049
O80622	22325441
O80626	15225083
O80722	15226482
O80725	15226477
O80739	42562825
O80760	15219066
O80765	30696417
O80770	15226248
O80792	15226161
O80796	18408237
O80803	15218642
O80805	15218644
O80822	30688665
O80832	15225904
O80840	15225896
O80873	18390735
O80873	18402218
O80912	15224497
O80917	15224488
O80927	18404466
O80928	15224320
O80929	15224322
O80931	15224328
O80932	15224330
O80934	18404496
O80946	15225076
O80948	15225074
O80950	15225068
O80961	18404979
O80988	15225249
O80994	15225243
O80995	15225238
O80998	15225232
O81003	15227760
O81004	18400109
O81007	18400116
O81014	15225820
O81016	15225814
O81053	15227563
O81078	15227034
O81108	15235643
O81123	15230588
O81146	15238554
O81147	15224993
O81148	15233268
O81149	15220961
O81153	18411547
O81153	79321410
O81223	15237928
O81235	15228407
O81275	15232283
O81322	15236744
O81323	15236747
O81346	15236088
O81416	15235301
O81439	15233357
O81445	18414931
O81488	15239624
O81635	18421069
O81641	15239551
O81644	18405794
O81645	18410709
O81755	15235136
O81769	15236075
O81769	42573117
O81772	15236066
O81788	15237035
O81821	30686034
O81821	30686038
O81825	15237022
O81826	15237024
O81829	15237038
O81850	79325171
O81852-1	42572959
O81852-2	42566965
O82122	18420836
O82132	15239107
O82133	15228427
O82155	15218007
O82175	15226918
O82198	15224853
O82200	18399158
O82204	15224835
O82204	79322493
O82205	15224834
O82221	15224075
O82226	18400426
O82232	15224086
O82243	15227128
O82246	15227131
O82248	15227134
O82256	15227152
O82261	18407488
O82264-1	18407495
O82264-2	42571281
O82291	15227428
O82314	18400953
O82316	15225195
O82333	15226032
O82353	15225932
O82355	15225930
O82368	15227663
O82391	15227587
O82399	15227752
O82480	15235495
O82481	15241992
O82484	15236915
O82485	15236912
O82486	15236910
O82491	15236899
O82499	15237084
O82500	15237080
O82514	15242753
O82598	15234189
O82616	15234986
O82628	15232110
O82628	30678328
O82629	15236587
O82631	15230004
O82632	15233971
O82643	15234037
O82653	15221574
O82660	15237225
O82662	15225353
O82663	15240075
O82733-1	30694273
O82733-2	18422326
O82734-1	30690815
O82734-2	30690812
O82743	15235869
O82768	15222496
O82782	15227607
O82796	15221827
O82796	42571535
O82798	15218550
O82804-1	15225220
P04777	18397286
P04777	18397288
P04778	15220615
P0C026	30687333
P0C034	15222071
P0C035	15220938
P0C041	15236699
P0C042	18414558
P0C0B0	15221642
P0C0B1	15221644
P10671	18409908
P10671	30687201
P10671	79324605
P10795	15219826
P10796	15240912
P10797	15240903
P10798	15240901
P10896-1	18405145
P10896-2	30687995
P11035	15221314
P11139	15217737
P11490	15222956
P11574	15222929
P11829	15229875
P11832	15218104
P12411	15222873
P13114	15240753
P14671	15239755
P14712	15217562
P14713	15224231
P14714	15239211
P15455	15241422
P15456	15219582
P15457	15236992
P15458	15236995
P15459	15237012
P15460	15237014
P16127	15233888
P16128	15233890
P16180	15220003
P16181	15229056
P16972	15219837
P17562	15234354
P17597	15228401
P17745	15237059
P17839	42566942
P18064	15225278
P18612	15237228
P18616	15233338
P19036	15231372
P19037	15238509
P19171	18399632
P19172	15237886
P19366	7525040
P19456	15234666
P20115-1	30689693
P20115-2	18406515
P20363	15241168
P20363	15241179
P20431	15242103
P20649	15224264
P21216	15224134
P21218	15234129
P21218	79325287
P21238	15226314
P21240	15222729
P21240	30695947
P21276	15234913
P21276	30686762
P21276	30686768
P22197	15236767
P22738	15220533
P22953	15241849
P22954	15241847
P23321	15240013
P23586	15220330
P23686-1	15217781
P23686-1	30678312
P24101	15229084
P24102	15224496
P24636	15241472
P24704	15223944
P24806	15234678
P25069	15225840
P25069	15229010
P25069	30688531
P25070	15240340
P25071	15226833
P25269	15236977
P25696	15227987
P25697	15222551
P25701	15221851
P25702	18405008
P25818	15228041
P25819	15236264
P25851	15232408
P25853	18414404
P25854	15219652
P25854	15240343
P25855	15226973
P25856	30688425
P25857	15217555
P25858	15229231
P25859	15232441
P25860	15232661
P25863	30693389
P25864	15230544
P25865	18394114
P25865	42571469
P25873	15230931
P26288	90110725
P26289	7525087
P26568	15222199
P26569	15224536
P26587	15219403
P27140-1	30678350
P27140-2	30678353
P27140-3	30678347
P27202	15219268
P27450	30690422
P27521	30692874
P27900	15232860
P28147	15231241
P28148	15222732
P28148	30695955
P28185	15221477
P28186	15231322
P28187	15224226
P28297	30686361
P28493	15222089
P28769	15231024
P29197	15229559
P29381	15231135
P29382	18417790
P29383-1	15227694
P29383-2	42570675
P29384	15232883
P29385-1	18406070
P29385-2	30689162
P29386	15225532
P29388	13449295
P29402	15240353
P29448	15230385
P29510	15220329
P29510	15222856
P29511	15233627
P29512	18424620
P29512	18424622
P29513	18394812
P29514	15239914
P29515	15227559
P29516	18420724
P29517	15233429
P29525	15234945
P29830	15239846
P29976	15236093
P30181	15240492
P30182	15229538
P30183	15235573
P30184	15224101
P30185	15239373
P30186	15230435
P30187	15226831
P30188	15227349
P30224	18410943
P30302	15228096
P30366	15227080
P31166-1	18396344
P31166-2	30689934
P31167	15231937
P31167	30680570
P31168	15217937
P31169	15237236
P31170	15234240
P31265	15228276
P31414	15218279
P31582	15242309
P32068	15239225
P32069	15227604
P32746	18420660
P32826	15228281
P32962	15229932
P33077	15239950
P33078	15218243
P33154	15225974
P33157	15230262
P33207	18395461
P33487	15236229
P33543	15230141
P34047-1	30686639
P34047-2	30686634
P34066	15239061
P34788	15219950
P34788	15234790
P34788	18399100
P34789	15237617
P34790	15234781
P34791	15228674
P34795	15239045
P34802	15234534
P34881	15239810
P34893	18394184
P35131	30693863
P35131	30693866
P35132-1	30687803
P35133	18423494
P35133	30696309
P35134	18398206
P35402	18397049
P35510	15228074
P35614	42565216
P35631	15222220
P35632	15232493
P36210	15232274
P36211	15232275
P36212	15232276
P36397	15226521
P36428-1	30694735
P37106	18394225
P37107	15237580
P37271	15237933
P37271	79328003
P37702	30690085
P38025	15232462
P38025	79313319
P38389	15225401
P38389	79324909
P38389	79324911
P38418	18407921
P38420	15234572
P38421	15237831
P38557	15233174
P38558	15239181
P38605	15225650
P38666	15231730
P39697	18422781
P40228	15238013
P40229	15236597
P40283	15238563
P40602	15223790
P40940	30682545
P40941	15240640
P40941	79327788
P41088	15233190
P41127	15229064
P41127	30693128
P41127	79314617
P41151	15236631
P41376	18400210
P41377	15221761
P41568	15236989
P41916	15241243
P41917	15241245
P42036	15231260
P42043	30690097
P42043	79328715
P42158	15236114
P42158	42573047
P42339	15219743
P42497	15234859
P42498	15236763
P42551	18409825
P42645	18417863
P42697-1	30693985
P42697-2	30693989
P42698	15220757
P42699	15217918
P42730	18410584
P42732	18417346
P42733	15237819
P42735	15234117
P42736	15228312
P42737	42573371
P42742	15232965
P42743	18401461
P42744	15220442
P42745	18395424
P42746	18424601
P42747	18410268
P42748	18422085
P42749	22330406
P42750	18406950
P42751	15223075
P42752	15227224
P42753	15235254
P42758	15230361
P42759	30686832
P42760	15218640
P42761	15224582
P42762	18423233
P42763	15222983
P42770	15232559
P42774-1	15234506
P42774-2	30690752
P42775	15234069
P42776	15225953
P42777	15219608
P42791	15230011
P42792	13449309
P42792	15226128
P42794-1	15231108
P42794-1	18415161
P42794-1	30694822
P42794-2	30694819
P42795	79595462
P42797	15228720
P42798	15223001
P42798	15238544
P42798	42571385
P42799	15242822
P42801	15236025
P42804	15217924
P42813	15227068
P42814	18405157
P42815	18396065
P42818	15231960
P42825	18420428
P43082	15229342
P43254	15225760
P43255	15236410
P43256	15227821
P43273	15240216
P43273	42573295
P43273	79327173
P43286	15231810
P43286	79314872
P43287	15228095
P43288	18421039
P43289	15230058
P43289	30679624
P43291	15220251
P43291	79317588
P43292	15242317
P43293	15241749
P43293	30679590
P43294-1	15235551
P43294-2	30682312
P43295	18399697
P43296	18420375
P43297	18401614
P43298	15218941
P43299	15235220
P43333	15218274
P43392	15222468
P45432	18411857
P45434	18399609
P45724	15231778
P45725	79507156
P45951	15227354
P46010	15229936
P46011	15242205
P46014	15239690
P46032	15226861
P46077	18399524
P46086	15240936
P46086	30690651
P46248	15236129
P46248	30689228
P46283	15228194
P46286	15227954
P46309	15236390
P46310	15229692
P46312	15235766
P46313	15229956
P46421	15227085
P46422	15235401
P46573	79323397
P46600	15236076
P46601	15238078
P46602	15232311
P46603	15227754
P46604	15235712
P46637	15236640
P46640	42563111
P46643	15224592
P46644	15239078
P46645	15239772
P46646	18407664
P46665	22326632
P46667	15238405
P46668	18399966
P46687	15233952
P46688	15233953
P46689	18410924
P46690	15242249
P46864	18416938
P46875	18423656
P46897	15226424
P47192	15225796
P47735	15235312
P47924	79547445
P47925	18399507
P47927	15234566
P47996	15219385
P47999	15224351
P48000	15238743
P48001	30683467
P48002	15236649
P48006	30691619
P48007	15241299
P48347-1	18395103
P48347-2	30687814
P48348-1	30698122
P48348-2	30698124
P48349	18416277
P48421	15236349
P48422	15237768
P48482	15237829
P48482	30697179
P48482	79331451
P48483	15222607
P48484	15225576
P48485	15232651
P48491	15233272
P48512	15227397
P48523	15230382
P48528	15240488
P48529	15236841
P48578	18410971
P48622	15239175
P48623	15227683
P48641	15230074
P48731	15234005
P48785	15233766
P49047	15225226
P49062	15218607
P49063	15231880
P49077	15231112
P49078	15232775
P49107	15237593
P49177	15236122
P49200	15241768
P49200	22331606
P49201	15242574
P49204	18415395
P49205	15228141
P49206	15226715
P49209	18398753
P49209	18398761
P49211	15236757
P49227	15242467
P49243	15221522
P49243	79320515
P49333	30697334
P49572	15228142
P49592	30688804
P49592	30688813
P49597	15236110
P49598	15229745
P49599	15234274
P49637	15223190
P49677	15233496
P49678	15228939
P49688	15227443
P49689	15233565
P49689	15241895
P49689	18399137
P49691	15242558
P49692	15226635
P49693	15235290
P49967	18402407
P50287	15241528
P50546	7525025
P50651	15229476
P50699	15221033
P50700	15234263
P50883	15228098
P51102	15239063
P51407	15226231
P51412	15219695
P51413	15220431
P51414	15229631
P51418	15226755
P51419	15233637
P51420	15241902
P51422	15228184
P51424	18417922
P51427	15229897
P51427	30681968
P51430	15238142
P51566	15231839
P51566	42570490
P51566	79314891
P51567	15233948
P51568	15233872
P51818	15241113
P52032	15224678
P52410	15237422
P52420	15218286
P52422	15221650
P52577	18410820
P52839	15227699
P52901	15218940
P53492	15242516
P53494	15238387
P53496	15229955
P53497	15231447
P53665	15224918
P53780-1	15230203
P53780-2	30694565
P53799	15236168
P54121	15228532
P54144	15236300
P54150	15234942
P54609	15232776
P54873-1	15234313
P54873-2	30681902
P54887	15225571
P54888	22331808
P54904	15241505
P54967	15224273
P54968	15233011
P54969	15241892
P54970	15241894
P55034	15233973
P55217	15232042
P55228	15238933
P55229	15239684
P55230	15217670
P55231	15234972
P55737	15241115
P55826	15234278
P55852	15236885
P56751	7525038
P56752	7525082
P56753	7525091
P56754	7525036
P56755	7525089
P56756	7525037
P56757	7525018
P56758	7525021
P56759	7525019
P56760	7525020
P56761	7525028
P56762	7525065
P56763	7525024
P56764	7525023
P56765	7525042
P56766	7525033
P56767	7525032
P56768	7525043
P56769	7525053
P56770	7525084
P56771	7525046
P56772	7525058
P56773	7525063
P56774	7525064
P56775	7525052
P56776	7525051
P56777	7525059
P56778	7525029
P56779	7525050
P56780	7525062
P56781	7525047
P56782	7525016
P56783	7525045
P56785	7525093
P56786	7525076
P56786	7525097
P56788	7525044
P56790	7525030
P56791	7525074
P56791	7525099
P56792	7525069
P56793	7525070
P56794	7525056
P56795	7525072
P56796	7525054
P56797	7525022
P56798	7525071
P56799	7525035
P56801	7525068
P56802	7525066
P56804	7525031
P56805	7525092
P56806	7525015
P56807	7525055
P56808	7525073
P56809	7525077
P56809	7525096
P56820	15233469
P56820	79325197
P56820	79325199
P57106	15239843
P57681	15237560
P57691	15229706
P57720	18402389
P57741	15239911
P57741	79330420
P57742	15237277
P57750	30686654
P57751	15237947
P57758	15237468
P57792	15222647
P58045	15238664
P58046	15238652
P58047	79325181
P58048	22327366
P58049	15238701
P58050	15238720
P58051	15238726
P58223-1	15236863
P58223-2	30684386
P58684	30688096
P58728	30682803
P58766	15239403
P59120	15241208
P59169	15236103
P59169	15238916
P59169	30692585
P59169	79326608
P59220	15229784
P59223	18411716
P59224	18411224
P59226	15232146
P59226	15238433
P59226	18390992
P59226	18416261
P59226	18416264
P59227	15227232
P59227	15234868
P59227	15236183
P59228	30686594
P59229	15222320
P59230	18401451
P59230	30683566
P59231	15242248
P59259	15226944
P59259	15231283
P59259	15232318
P59259	18390794
P59259	18390815
P59259	18424269
P59259	18424305
P59259	30680368
P59259	30692704
P59278	79363855
P59467	15231591
P59468	15231595
P59583	42567286
P59833	15239687
P60039	30689617
P60040	15226212
P60129	7525048
P60300	15242770
P60497	13449312
P60620	13449404
P60838	15221277
P60839	15221280
P61039	7525026
P61430	18395097
P61827	15238816
P61837	15233109
P61839	7525060
P61841	7525079
P61841	7525094
P61843	7525034
P61845	7525075
P61845	7525098
P61847	7525083
P62090	7525086
P62095	7525049
P62100	7525017
P62109	7525027
P62113	7525061
P62117	7525067
P62120	15228807
P62120	15229683
P62120	15231930
P62120	30688190
P62120	42571897
P62126	7525057
P62126	7525080
P62598	30682677
P68209	15241592
P68349	15218970
P68350	15218846
P69781	15239503
P69834	18395376
P81760	30696344
P82266	15227596
P82281	15236678
P82538	15233245
P82620	79325053
P82621	79320757
P82623	79320356
P82624-1	42571935
P82625	18406962
P82626	79320381
P82627	79320341
P82628	79321776
P82629	42572919
P82630	79325127
P82631	79313345
P82632	79313343
P82633	79325219
P82634	79321803
P82635	79322223
P82636	79323041
P82637	79322327
P82638	79313878
P82639	79325047
P82640	79325063
P82642	79325117
P82643	79326186
P82644	79326172
P82645	79325217
P82646	79329936
P82716	79330195
P82717	79325055
P82718	79330051
P82719	79313390
P82721	79330017
P82722	79325167
P82723	79315909
P82726	79325069
P82727	79330311
P82728	79325043
P82729	79323033
P82730	79325169
P82731	79319604
P82732	79313119
P82733	79325742
P82734	79330009
P82735	79325433
P82737	79325396
P82739	79325474
P82744	79322249
P82745	79314082
P82746	79318781
P82748	79314074
P82749	79325045
P82750	79322708
P82751	79325039
P82753	79325177
P82754	79313333
P82755	79322343
P82756	79312827
P82757	79313331
P82760	79326584
P82761	79330338
P82762	79314067
P82763	79314608
P82764	79324108
P82765	79322285
P82766	79315925
P82767	79315955
P82768	79315976
P82769	79313315
P82770	79313313
P82771	79329581
P82772	79329170
P82773	18417524
P82774	79322519
P82775	79325648
P82776	79323419
P82777	79325702
P82778	79321232
P82779	79321240
P82782	79316504
P82785	79323842
P82787	22329675
P82789	22327433
P82790	79323027
P82791	79321724
P82792	79330828
P82793	79322334
P82794	18415866
P82795	79330365
P82805	15237520
P82872	15232078
P82873	30689902
P82874	15232079
P83291	18420117
P83483	18415909
P83484	18415911
P83755	7525013
P84634	42567981
P92510	13449346
P92512	13449348
P92513	13449349
P92514	15226079
P92514	26556997
P92515	13449351
P92516	13449352
P92517	13449353
P92518	13449354
P92519	13449355
P92520	13449356
P92521	13449358
P92522	13449359
P92523	13449360
P92525	13449361
P92526	13449363
P92528	13449365
P92529	13449366
P92530	13449367
P92531	13449369
P92532	15226054
P92532	26557001
P92534	13449372
P92535	13449373
P92536	13449374
P92537	13449375
P92538	13449376
P92540	13449378
P92541	13449380
P92542	13449381
P92543	13449382
P92544	13449384
P92548	13449388
P92550	13449390
P92551	13449391
P92552	13449392
P92553	13449393
P92554	13449394
P92555	13449395
P92556	13449396
P92557	13449397
P92557	15226091
P92559	13449398
P92561	13449400
P92561	15226085
P92562	13449401
P92562	15226083
P92563	13449402
P92564	13449403
P92565	13449405
P92566	13449406
P92567	13449407
P92935	15218214
P92937	15241066
P92937	79326680
P92939	15223017
P92941	15237514
P92942	15232105
P92943	15240276
P92947-1	30696924
P92947-2	18407925
P92953	15225368
P92958	18406082
P92958	42572557
P92959	30696483
P92960	15233870
P92964	18412169
P92965	15235112
P92966	30696138
P92969	15221580
P92976	79379629
P92978	15230443
P92979	15233591
P92980	15234684
P92982	15220856
P92983	42565343
P92985	30697102
P92990	15223133
P92994	15224514
P92996	15241662
P92997	18421830
P92998	22329473
P92999	22327459
P93000	15230582
P93002	15222657
P93003	15237535
P93004	15236267
P93008	15226155
P93009-1	15226156
P93009-2	30685818
P93014	15226167
P93015	18403387
P93022-1	30687949
P93022-2	30687943
P93024	15223692
P93025-1	30697007
P93025-1	30697010
P93025-1	30697012
P93026	15231697
P93031	15230418
P93033	15226618
P93043	42561797
P93045	18401571
P93046	15230574
P93051	18407508
P93051	30690868
P93275	13449291
P93276	13449292
P93277	13449294
P93278	13449293
P93280	13449299
P93281	13449300
P93282	13449301
P93283	13449302
P93284	13449303
P93285	13449304
P93287	13449307
P93290	13449310
P93291	13449311
P93292	13449313
P93293	13449316
P93294	13449318
P93295	13449317
P93296	13449319
P93297	13449320
P93298	13449321
P93298	15226144
P93299	13449322
P93299	13449386
P93299	15226093
P93300	13449323
P93300	13449385
P93300	22325573
P93301	13449324
P93302	13449325
P93303	13449326
P93303	15226097
P93304	13449327
P93305	13449328
P93305	15226098
P93306	13449329
P93308	13449331
P93308	42570727
P93309	13449332
P93309	15226099
P93310	13449333
P93311	13449334
P93312	13449335
P93314	13449337
P93314	15226112
P93315	13449338
P93316	13449339
P93316	15226113
P93317	13449341
P93318	13449344
P93319	13449345
P93654	18422725
P93732	42570761
P93733	30688872
P93736	15223829
P93738	15227502
P93740	18405878
P93748	15227480
P93819	15219721
P93822	15219717
P93823	15219716
P93830	15219694
P93831	15227824
P93832	15220167
P93834	15224857
P93835	18416562
P94014	15217561
P94017	15223949
P94024	13449305
P94024	13449340
P94040	15218535
P94063	42571807
P94072	15242028
P94102	18420327
P94111	15221106
P98204	18414733
P98205	18422421
Q00218	15234217
Q00466-1	30685207
Q00762	15240728
Q00874	15230539
Q01474	15223516
Q01525	18411901
Q01593	15230140
Q01908	18412632
Q01909	15218281
Q02166	15238711
Q02283	15232122
Q02971	15233642
Q02972	15233643
Q02973	15225645
Q03250-1	15226605
Q03251-1	15235002
Q03509	30688187
Q04088	15224665
Q04088	30684932
Q04088	79593542
Q04613	13449342
Q04614	13449343
Q04836-1	15233980
Q04980	22327778
Q05085	18391353
Q05153	15228471
Q05196	15217573
Q05431	15223049
Q05431	30680404
Q05431	42571391
Q05466	15235882
Q05609	15242848
Q05609	30680171
Q05728	15233161
Q05728	42572683
Q05753	30698188
Q05758	15231092
Q05762	15227185
Q05999	15232201
Q05999	79313898
Q06327	15221970
Q06402-1	15223414
Q06402-2	30678140
Q06429	15233135
Q06548	15222437
Q06548	42571375
Q06588	15220386
Q06611	15225913
Q06738	15242967
Q06850	15238353
Q06915	15236405
Q07098	15218524
Q07099	15218928
Q07100	18405985
Q07187	15231041
Q07356	15236439
Q07473	15241005
Q07488	15241298
Q07970	15233583
Q08112	15219697
Q08298	15239478
Q08682	15218458
Q08733	15223438
Q08770	15223382
Q08891	15229920
Q09152-1	15238801
Q0WM29	15225601
Q0WNY5	30688910
Q0WQ63	30679397
Q0WQF7	15231159
Q0WSF1	42572293
Q0WUU6	42569195
Q0WVE9-1	42561706
Q0WWW9	42568650
Q11207	30679124
Q1PER6	30680940
Q1PER6	79313169
Q1WIQ6	15224111
Q1WIQ6	42570905
Q2MHE4	15220773
Q2V4B9-1	30699453
Q2V4B9-1	30699455
Q2V4B9-3	79321503
Q2V4L8-1	15219963
Q2V4L8-2	79318398
Q304B9	42569717
Q31708	13449315
Q31708	15226130
Q33884	26557000
Q37001	15239159
Q37145	30690083
Q37165	7525090
Q38798	15240773
Q38799	15241286
Q38802	15235504
Q38804	15222469
Q38805	15241787
Q38813	30690263
Q38814	15239735
Q38821	18403637
Q38822	15219692
Q38824	15219101
Q38825	15228943
Q38826	15227275
Q38827	30698143
Q38828	15219646
Q38829	15235385
Q38830	15219761
Q38831-1	30685642
Q38831-2	15225833
Q38832	22328628
Q38834	15230357
Q38834	30693383
Q38836-1	15234874
Q38836-2	30681253
Q38837	15233045
Q38838	15234342
Q38840	15227254
Q38841	18409883
Q38845	15222601
Q38847	15240706
Q38849	79476968
Q38854	15234642
Q38857	15242781
Q38859	15231127
Q38860	15236144
Q38861	18422091
Q38862	15227169
Q38864	15228564
Q38865	15227005
Q38866	15239064
Q38867	15228814
Q38874	15220767
Q38876	18424410
Q38882	15232671
Q38884	15225954
Q38884	30690302
Q38885	15224214
Q38890	15240539
Q38895	15228971
Q38896	15226451
Q38898	18415864
Q38899	15224316
Q38900	15227259
Q38902	15227902
Q38903	15237352
Q38904	15233536
Q38905	15224839
Q38907	22327914
Q38908	15222593
Q38909	15223878
Q38910	15235997
Q38911	15236412
Q38912	15236247
Q38914	15235690
Q38919	15223765
Q38924	15225855
Q38931	30687816
Q38932	15242019
Q38933	15228239
Q38935	18404471
Q38936	15239019
Q38937	15222879
Q38942	15220198
Q38944	15224430
Q38945	15239631
Q38946	15240793
Q38950	15230896
Q38951	22329534
Q38953	15231574
Q38954-1	30688383
Q38954-2	30688378
Q38961	15231597
Q38961	30688447
Q38961	79313637
Q38997-1	30678280
Q38997-2	18395701
Q38998	15225768
Q39002	15220099
Q39008	15236515
Q39008	79325023
Q39009	30686826
Q39011	15233984
Q39012	15221476
Q39012	42571361
Q39013	15223456
Q39017	15241456
Q39019	15218288
Q39019	30681397
Q39019	42571421
Q39019	79317477
Q39021	15218451
Q39021	79317509
Q39022	18406388
Q39022	42571917
Q39023	15231196
Q39024	15234152
Q39025	18413509
